hs6_code,ucc_code,ucc_description,map_weight,confidence_level
020649,040210,PORK CHOPS,0.2989,MEDIUM-HIGH
020649,050410,LAMB AND ORGAN MEATS,0.251,HIGH
020680,050410,LAMB AND ORGAN MEATS,0.6838,HIGH
020680,050900,"MUTTON, GOAT AND GAME",0.3162,MEDIUM
020690,050410,LAMB AND ORGAN MEATS,0.7198,HIGH
020690,050900,"MUTTON, GOAT AND GAME",0.2802,MEDIUM
020711,060110,FRESH AND FROZEN WHOLE CHICKEN,0.5,HIGH
020711,060210,FRESH AND FROZEN CHICKEN PARTS,0.5,HIGH
020712,060110,FRESH AND FROZEN WHOLE CHICKEN,0.5,HIGH
020712,060210,FRESH AND FROZEN CHICKEN PARTS,0.5,HIGH
020713,060110,FRESH AND FROZEN WHOLE CHICKEN,0.3503,HIGH
020713,060210,FRESH AND FROZEN CHICKEN PARTS,0.3503,HIGH
020713,050410,LAMB AND ORGAN MEATS,0.2993,HIGH
020714,060110,FRESH AND FROZEN WHOLE CHICKEN,0.3861,HIGH
020714,060210,FRESH AND FROZEN CHICKEN PARTS,0.3861,HIGH
020714,050410,LAMB AND ORGAN MEATS,0.2278,HIGH
020724,060310,OTHER POULTRY,1.0,HIGH
020725,060310,OTHER POULTRY,1.0,HIGH
020726,060310,OTHER POULTRY,0.5392,HIGH
020726,050410,LAMB AND ORGAN MEATS,0.4608,HIGH
020727,060310,OTHER POULTRY,0.6666,HIGH
020727,050410,LAMB AND ORGAN MEATS,0.3334,MEDIUM
020744,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020745,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020754,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020755,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020760,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020810,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020830,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020840,050410,LAMB AND ORGAN MEATS,1.0,MEDIUM-HIGH
020850,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020860,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020890,050410,LAMB AND ORGAN MEATS,1.0,HIGH
020910,160211,FATS AND OILS,0.3234,HIGH
020910,040410,OTHER PORK,0.3234,HIGH
020910,040210,PORK CHOPS,0.1975,MEDIUM
020910,050410,LAMB AND ORGAN MEATS,0.1556,MEDIUM
