level1,level2,description,ucc_code
1,4,REPAIR OF MEDICAL EQUIPMENT,570902
1,4,"RENTAL OF SUPPORTIVE, CONVALESCENT MEDICAL EQUIPMENT",570903
1,5,FEE FOR SERVICE HEALTH PLAN (NOT BCBS),580115
1,5,FEE FOR SERVICE HEALTH PLAN (BCBS),580116
1,4,HEALTH MAINTENANCE ORGANIZATION (NOT BCBS),580311
1,5,HEALTH MAINTENANCE ORGANIZATION (BCBS),580312
1,4,LONG TERM CARE INSURANCE (THRU Q20171),580400
1,4,LONG TERM CARE INSURANCE (NOT BCBS),580401
1,4,LONG TERM CARE INSURANCE (BCBS) (NEW UCC Q20172),580402
1,5,DENTAL CARE INSURANCE (NOT BCBS) (NEW UCC Q20172),580411
1,5,DENTAL CARE INSURANCE (BCBS) (NEW UCC Q20172),580412
