code_type,code,description,reason
HS6,250700,Kaolin and other kaolinic clays; whether or not calcined,No UCC match found above confidence threshold
HS6,250810,"Clays (excluding expanded clays of heading no. 6806); bentonite, whether or not calcined",No UCC match found above confidence threshold
HS6,250830,"Clays (excluding expanded clays of heading no. 6806); fireclay, whether or not calcined",No UCC match found above confidence threshold
HS6,250840,"Clays (excluding expanded clays of heading no. 6806); n.e.c. in heading no. 2508, whether or not calcined",No UCC match found above confidence threshold
HS6,250850,"Clays (excluding expanded clays of heading no. 6806); andalusite, kyanite and sillimanite, whether or not calcined",No UCC match found above confidence threshold
HS6,250860,Clays (excluding expanded clays of heading no. 6806); mullite,No UCC match found above confidence threshold
HS6,250900,Chalk,No UCC match found above confidence threshold
HS6,251010,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk; unground",No UCC match found above confidence threshold
HS6,251110,Barium sulphate (barytes); natural,No UCC match found above confidence threshold
HS6,251400,"Slate; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",No UCC match found above confidence threshold
HS6,251511,"Marble and travertine; having a specific gravity of 2.5 or more, crude or roughly trimmed by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",No UCC match found above confidence threshold
HS6,251512,"Marble and travertine; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more",No UCC match found above confidence threshold
HS6,251611,Granite; crude or roughly trimmed,No UCC match found above confidence threshold
HS6,251612,"Granite; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",No UCC match found above confidence threshold
HS6,251620,"Sandstone;. whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",No UCC match found above confidence threshold
HS6,251720,"Macadam of slag, dross or similar industrial waste; whether or not incorporating the materials in item no. 2517.10",No UCC match found above confidence threshold
HS6,251730,Tarred macadam,No UCC match found above confidence threshold
HS6,251810,"Dolomite, not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",No UCC match found above confidence threshold
