Classification,Code,Description,Parent Code,Level,IsBasicLevel
H5,010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",0106,6,1
H5,010641,"Insects; live, bees",0106,6,1
H5,010649,"Insects; live, other than bees",0106,6,1
H5,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0106,6,1
H5,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",0201,6,1
H5,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0201,6,1
H5,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",0201,6,1
H5,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",0202,6,1
H5,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",0202,6,1
H5,020230,"Meat; of bovine animals, boneless cuts, frozen",0202,6,1
H5,020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",0203,6,1
H5,020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0203,6,1
H5,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",0203,6,1
H5,020321,"Meat; of swine, carcasses and half-carcasses, frozen",0203,6,1
H5,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",0203,6,1
H5,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",0203,6,1
H5,020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",0204,6,1
H5,020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",0204,6,1
H5,020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0204,6,1
H5,020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",0204,6,1
H5,020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",0204,6,1
H5,020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",0204,6,1
H5,020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",0204,6,1
H5,020443,"Meat; of sheep (including lamb), boneless cuts, frozen",0204,6,1
H5,020450,"Meat; of goats, fresh, chilled or frozen",0204,6,1
H5,020500,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",0205,6,1
H5,020610,"Offal, edible; of bovine animals, fresh or chilled",0206,6,1
H5,020621,"Offal, edible; of bovine animals, tongues, frozen",0206,6,1
H5,020622,"Offal, edible; of bovine animals, livers, frozen",0206,6,1
H5,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",0206,6,1
H5,020630,"Offal, edible; of swine, fresh or chilled",0206,6,1
H5,020641,"Offal, edible; of swine, livers, frozen",0206,6,1
H5,020649,"Offal, edible; of swine, (other than livers), frozen",0206,6,1
H5,020680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",0206,6,1
H5,020690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",0206,6,1
H5,020711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",0207,6,1
H5,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",0207,6,1
H5,020713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",0207,6,1
H5,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",0207,6,1
